method,method_label,direction,n_seeds,seeds,Rank-1_mean_pp,Rank-1_sd_pp,Rank-5_mean_pp,Rank-5_sd_pp,Macro-F1_mean_pp,Macro-F1_sd_pp,EER_mean_pp,EER_sd_pp,TAR@FAR=1e-2_mean_pp,TAR@FAR=1e-2_sd_pp,TAR@FAR=1e-3_mean_pp,TAR@FAR=1e-3_sd_pp
B0,ResNet18 + CE,S1->S2,3,"42,2026,2705",92.94444322666665,2.9134909913799834,96.75000111333333,2.237621570378676,92.47962649666665,3.073083104686488,5.0843137233333335,1.2350847552969462,87.08333333333333,4.2569143068920505,71.86111111,6.601243220640055
B0,ResNet18 + CE,S2->S1,3,"42,2026,2705",93.00000071666666,0.4409581316735959,96.72222137333334,0.37577331586649804,92.27532656333334,0.5136098127102209,4.618627453333334,0.39612896285551147,87.31666666666668,0.7055336861002578,71.17222222333334,0.3234292544431115
B1,ResNet18 + CE + SupCon,S1->S2,3,"42,2026,2705",91.69444441666667,4.057171892521193,96.16666833666666,2.4622154358426362,90.79589265666668,4.760993840979976,4.4956582633333335,1.0213525224756403,86.70555555666665,4.432239316758345,67.85555555666666,7.873488975798369
B1,ResNet18 + CE + SupCon,S2->S1,3,"42,2026,2705",95.08333206333333,1.261060958303365,97.75000214333333,0.5464526890675517,94.62976821000001,1.2955239187642353,4.014052286666667,0.27109780062188144,90.54166666666667,1.6296727687892887,75.66944444333333,5.144916135421314
B4,ResNet18 + ArcFace,S1->S2,3,"42,2026,2705",93.02777846666667,1.4101142282998451,96.63888812,0.5091771899351589,92.17688725666666,1.522699458587521,4.931886086666666,0.7637388395706628,87.62777777999999,2.6192308718966126,72.23611111333334,4.161416134428236
B4,ResNet18 + ArcFace,S2->S1,3,"42,2026,2705",92.25000143,0.7119996299549747,96.13888859666667,1.3852745001432216,91.36619319666666,0.9664893934908182,5.173552756666667,0.5064121131972258,86.38333333333333,1.3030679606115059,69.34999999666665,0.9018499505645775
B5,ResNet18 + BNNeck + CE,S1->S2,3,"42,2026,2705",94.16666627,0.5204160058711793,97.27777839,0.7515439930745602,93.64895374000001,0.5857809653563548,4.444537816666666,0.6278980001505069,89.11666666666667,2.260592352619604,75.01944444333333,3.9379768935353714
B5,ResNet18 + BNNeck + CE,S2->S1,3,"42,2026,2705",93.47222248666667,2.095517917132302,96.97222113333333,1.4051842835533095,92.75892357,2.4815029994221525,5.005275443333333,0.3985106418366887,86.49166667000001,2.244298331327636,70.26944444333334,4.445545000280451
B6,ResNet18 + BNNeck + ArcFace,S1->S2,3,"42,2026,2705",91.55555566,1.616609793389329,95.38888732666668,1.1557013490698873,90.74028012333333,1.781583068819173,5.3475723633333345,0.40618704682615897,86.12222222333332,2.0511909391908234,69.05,4.575166970274298
B6,ResNet18 + BNNeck + ArcFace,S2->S1,3,"42,2026,2705",92.86111195666666,1.7684198750954085,96.52777711333333,0.8430021262810414,92.07041934333334,1.8909641043223224,5.191666666666666,0.573246114877565,86.34444444333333,2.6422624649397717,70.33888889,4.7417862696241695
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,3,"42,2026,2705",90.88888963,3.212749489649511,95.50000031999998,2.428133955154052,89.76739416666668,3.509455918228625,5.327777776666666,0.7029863550451244,85.275,3.296789264707235,68.14444444666667,7.457827419304473
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,3,"42,2026,2705",94.02777751333333,1.061749812765902,97.08333610999999,0.0,93.26027506666667,1.1785527382427377,4.4151493933333334,0.42334436084606464,88.79722222333334,2.140244879944731,73.99166667,4.881021921688119
